,City,City Id,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Temperature,Wind Speed (mph)
0,Hermanus,3366880,0,ZA,1533021250,88,-34.42,19.24,36.06,3.96
1,Khatanga,2022572,20,RU,1533020959,98,71.98,102.47,49.02,8.21
2,Trincomalee,1226260,24,LK,1533021250,56,8.58,81.23,89.97,21.18
3,Capelinha,3467305,0,BR,1533020972,86,-17.69,-42.52,53.88,5.97
4,Mataura,6201424,8,NZ,1533020965,83,-46.19,168.86,48.3,11.68
5,Yellowknife,6185377,75,CA,1533016800,76,62.45,-114.38,53.6,5.82
6,Talnakh,1490256,92,RU,1533021105,96,69.49,88.39,43.98,10.0
7,Punta Arenas,3874787,40,CL,1533016800,86,-53.16,-70.91,37.4,13.87
8,Lebu,344979,24,ET,1533021252,89,8.96,38.73,58.33,3.29
9,Rikitea,4030556,8,PF,1533020961,95,-23.12,-134.97,75.61,17.05
10,Fairbanks,5861897,75,US,1533020280,56,64.84,-147.72,69.8,5.64
11,Lalmohan,1185251,100,BD,1533021252,100,22.34,90.74,81.78,14.03
12,Hobart,2163355,75,AU,1533016800,61,-42.88,147.33,50.0,8.05
13,Saint-Philippe,6138908,1,CA,1533018900,93,45.36,-73.48,69.8,3.36
14,Kapaa,5848280,75,US,1533016560,83,22.08,-159.32,82.4,14.99
15,Souillac,3026644,0,FR,1533018600,82,45.6,-0.6,69.8,7.65
16,Cabo San Lucas,3985710,8,MX,1533020911,100,22.89,-109.91,81.64,11.01
17,Chimbote,3698304,56,PE,1533021254,100,-9.08,-78.59,59.46,2.62
18,Yulara,6355222,90,AU,1533016800,17,-25.24,130.99,77.0,5.82
19,Milkovo,727030,75,BG,1533019800,65,41.53,24.68,80.6,3.36
20,Calama,3897347,0,CL,1533016800,17,-22.46,-68.93,35.6,18.34
21,Lima,3936456,0,PE,1533021055,89,-12.06,-77.04,51.09,1.83
22,Abu Samrah,172515,0,SY,1533021255,67,35.3,37.18,79.35,11.45
23,Coquimbo,3893629,20,CL,1533016800,70,-29.95,-71.34,44.6,5.82
24,Bluff,2175403,0,AU,1533020960,17,-23.58,149.07,76.02,5.19
25,Tiznit,2527089,92,MA,1533021255,97,29.7,-9.73,65.58,0.94
26,Bredasdorp,1015776,0,ZA,1533016800,87,-34.53,20.04,44.6,8.05
27,Jilib,56166,44,SO,1533021256,70,0.49,42.79,80.88,7.76
28,Fortuna,2517679,75,ES,1533018600,83,38.18,-1.13,78.8,3.36
29,Tezu,1254709,92,IN,1533021256,100,27.93,96.16,67.06,1.61
30,Shahr-e Babak,115781,0,IR,1533021257,17,30.12,55.12,86.64,7.87
31,Nan,1608452,75,TH,1533020400,66,18.78,100.78,84.2,9.17
32,Mutare,884979,32,MZ,1533021257,87,-18.97,32.67,52.98,2.39
33,Ushuaia,3833367,90,AR,1533016800,91,-54.81,-68.31,35.6,10.29
34,Biltine,244878,0,TD,1533021258,68,14.53,20.93,76.78,10.0
35,Churapcha,2025241,0,RU,1533021258,63,62.0,132.43,70.08,4.18
36,Smidovich,2016412,0,RU,1533021258,58,48.6,133.81,78.54,5.75
37,New Norfolk,2155415,75,AU,1533016800,61,-42.78,147.06,50.0,8.05
38,Chokurdakh,2126123,56,RU,1533021030,84,70.62,147.9,46.59,13.69
39,Albany,5106834,20,US,1533020040,87,42.65,-73.75,69.8,2.73
40,Barrow,3833859,8,AR,1533020959,82,-38.31,-60.23,34.66,8.77
41,Hithadhoo,1282256,20,MV,1533020970,100,-0.6,73.08,81.46,8.1
42,Yar-Sale,1486321,0,RU,1533021073,90,66.83,70.83,49.24,22.75
43,Antalaha,1071296,36,MG,1533021260,96,-14.9,50.28,71.7,5.3
44,Paramonga,3933024,64,PE,1533021260,100,-10.68,-77.82,58.24,9.1
45,Mar del Plata,3863379,20,AR,1533021009,83,-46.43,-67.52,39.3,16.93
46,Ust-Kuyga,2013921,20,RU,1533021260,53,70.0,135.55,62.38,9.78
47,Pevek,2122090,88,RU,1533021018,77,69.7,170.27,54.64,7.54
48,Buriti dos Lopes,3404713,0,BR,1533021261,79,-3.18,-41.87,77.23,12.24
49,Bilibino,2126682,92,RU,1533021262,88,68.06,166.44,60.72,3.4
50,Kalmunai,1242110,8,LK,1533021262,66,7.42,81.82,89.74,8.77
51,Avarua,4035715,20,CK,1533016800,73,-21.21,-159.78,69.8,4.7
52,Kloulklubed,7671223,90,PW,1533019860,83,7.04,134.26,82.4,4.7
53,Atuona,4020109,12,PF,1533020967,98,-9.8,-139.03,80.29,16.93
54,Tual,1623197,20,ID,1533021263,95,-5.67,132.75,80.61,15.03
55,Cidreira,3466165,92,BR,1533021263,93,-30.17,-50.22,51.45,2.73
56,Turukhansk,1488903,68,RU,1533021264,88,65.8,87.96,49.74,10.0
57,Vaini,1273574,88,IN,1533020978,100,15.34,74.49,73.36,8.43
58,Isangel,2136825,92,VU,1533021015,100,-19.55,169.27,72.78,10.45
59,Oxford,4081914,75,US,1533020400,94,33.61,-85.83,73.4,4.97
60,Lasa,146639,40,CY,1533019800,70,34.92,32.53,84.2,9.17
61,Cape Town,3369157,20,ZA,1533018600,81,-33.93,18.42,48.2,8.05
62,Kavieng,2094342,76,PG,1533021027,98,-2.57,150.8,85.56,9.22
63,Busselton,2075265,76,AU,1533020706,100,-33.64,115.35,61.21,18.5
64,Provideniya,4031574,90,RU,1533016800,87,64.42,-173.23,57.2,6.71
65,Yertsevo,467084,0,RU,1533021265,66,60.8,40.09,72.91,4.63
66,Zhanaozen,607610,80,KZ,1533021038,20,43.35,52.85,91.63,11.01
67,Lipno,3093268,0,PL,1533021266,87,52.85,19.18,74.76,4.41
68,Garissa,197745,0,KE,1533021266,69,-0.46,39.64,77.82,11.68
69,Upernavik,3418910,0,GL,1533020985,86,72.79,-56.15,42.04,4.97
70,Butterworth,1735076,75,MY,1533020400,70,5.4,100.37,86.0,4.7
71,Longyearbyen,2729907,75,NO,1533018000,76,78.22,15.63,50.0,5.82
72,Kahului,5847411,40,US,1533018000,78,20.89,-156.47,80.6,11.41
73,Medea,2488835,0,DZ,1533020400,60,36.27,2.77,75.2,4.7
74,Kungsbacka,2698729,0,SE,1533019800,47,57.49,12.08,77.0,6.93
75,Mackay,5921525,75,CA,1533019260,100,53.65,-115.58,55.4,4.7
76,Klaksvik,2618795,48,FO,1533019800,87,62.23,-6.59,53.6,6.93
77,Barra Patuca,3614835,56,HN,1533021268,90,15.8,-84.28,82.95,10.78
78,Terrak,3134658,0,NO,1533018000,73,65.09,12.37,73.4,14.99
79,Ribeira Grande,3372707,75,PT,1533020400,73,38.52,-28.7,69.8,4.07
80,Pisco,3932145,90,PE,1533020400,87,-13.71,-76.2,60.8,2.24
81,Katangli,2122783,88,RU,1533021269,85,51.71,143.23,60.13,2.39
82,Praia,3460954,0,BR,1533021270,89,-20.25,-43.81,49.11,4.18
83,East London,1006984,0,ZA,1533016800,66,-33.02,27.91,55.4,6.93
84,Jamestown,2069194,0,AU,1533020964,54,-33.21,138.6,56.31,12.57
85,Snezhnogorsk,795243,0,RU,1533018600,47,69.19,33.23,78.8,8.95
86,Qaanaaq,3831208,88,GL,1533020999,91,77.48,-69.36,38.71,2.39
87,Lorengau,2092164,20,PG,1533021003,90,-2.02,147.27,86.55,13.24
88,Sao Jose da Coroa Grande,3388456,92,BR,1533021031,100,-8.9,-35.15,70.89,4.97
89,Port Alfred,964432,0,ZA,1533020976,97,-33.59,26.89,59.59,13.8
90,Arraial do Cabo,3471451,88,BR,1533020962,100,-22.97,-42.02,70.62,8.43
91,Esperance,3573739,75,TT,1533016800,94,10.24,-61.45,77.0,4.18
92,Saldanha,2737599,0,PT,1533021015,88,41.42,-6.55,54.6,3.06
93,Yaita,1848776,40,JP,1533019740,52,36.8,139.92,93.2,4.7
94,Castro,3896218,56,CL,1533020762,100,-42.48,-73.76,31.83,2.84
95,Salalah,286621,90,OM,1533016200,100,17.01,54.1,77.0,5.82
96,Sexsmith,6144602,40,CA,1533016800,87,55.35,-118.78,59.0,5.82
97,Bethel,5880568,90,US,1533016380,72,60.79,-161.76,62.6,5.82
98,Mount Gambier,2156643,92,AU,1533020750,98,-37.83,140.78,50.59,11.45
99,Ancud,3899695,64,CL,1533020998,84,-41.87,-73.83,32.1,3.4
100,Kutum,371745,76,SD,1533021273,62,14.2,24.66,73.09,14.58
101,Tasiilaq,3424607,88,GL,1533016200,81,65.61,-37.64,46.4,3.4
102,Dikson,1507390,56,RU,1533020982,100,73.51,80.55,36.51,16.82
103,Cockburn Town,3576994,88,TC,1533021167,95,21.46,-71.14,83.22,20.18
104,Wasilla,5877641,75,US,1533020160,77,61.58,-149.44,62.6,1.95
105,Bol,2434979,92,TD,1533021274,83,13.47,14.72,77.23,11.45
106,Faanui,4034551,20,PF,1533021045,100,-16.48,-151.75,79.89,6.2
107,Puerto Ayora,3652764,68,EC,1533020984,100,-0.74,-90.35,70.89,12.01
108,Torbay,6167817,5,CA,1533016800,93,47.66,-52.73,57.2,11.41
109,Singleton,2149475,8,AU,1533020400,34,-32.57,151.17,64.4,9.17
110,Chuy,3443061,0,UY,1533020971,93,-33.69,-53.46,46.41,12.91
111,Taoudenni,2450173,32,ML,1533021276,12,22.68,-3.98,90.69,10.56
112,Thompson,6165406,75,CA,1533017700,93,55.74,-97.86,46.4,5.82
113,Kodiak,4407665,1,US,1533019980,100,39.95,-94.76,60.8,4.7
114,Slave Lake,6149374,1,CA,1533016800,93,55.28,-114.77,60.8,3.36
115,Port Blair,1259385,68,IN,1533021075,96,11.67,92.75,83.53,24.87
116,Sassandra,2281951,36,CI,1533020400,100,4.95,-6.09,75.2,4.7
117,Lufilufi,4035249,12,WS,1533021091,100,-13.87,-171.6,81.96,11.79
118,Iqaluit,5983720,75,CA,1533016800,86,63.75,-68.52,41.0,10.29
119,Awjilah,88533,0,LY,1533021081,52,29.14,21.3,82.14,7.65
120,Los Alamos,5476825,40,US,1533020100,67,35.88,-106.3,64.4,13.87
121,Aksarka,1512019,0,RU,1533021048,59,66.56,67.8,50.55,20.51
122,Nuristan,1346493,0,UZ,1533018600,19,38.49,65.64,91.4,11.41
123,Biak,1637001,88,ID,1533021053,100,-0.91,122.88,75.48,6.42
124,Huercal-Overa,2516542,0,ES,1533021279,100,37.39,-1.95,69.76,3.4
125,Kondoa,156510,88,TZ,1533021279,88,-4.91,35.78,63.6,4.07
126,San Pedro de Macoris,3493032,40,DO,1533020400,94,18.46,-69.3,77.0,4.7
127,Vostok,2013279,92,RU,1533021279,94,46.45,135.83,72.42,2.73
128,Clermont,2171365,0,AU,1533021280,18,-22.82,147.64,75.75,6.98
129,Platanos,255036,40,GR,1533019800,62,35.47,23.6,84.2,9.17
130,Mosquera,3674292,75,CO,1533020400,87,4.71,-74.23,53.6,3.36
131,Kaitangata,2208248,68,NZ,1533021020,85,-46.28,169.85,47.85,5.64
132,College,5859699,1,US,1533016680,41,64.86,-147.8,75.2,5.64
133,Pangnirtung,6096551,92,CA,1533021281,97,66.15,-65.72,40.06,8.66
134,Rawson,3839307,0,AR,1533021282,75,-43.3,-65.11,27.15,10.45
135,Kushima,1895695,75,JP,1533016800,89,31.5,131.29,84.2,14.99
136,Padilla,3673407,90,CO,1533020400,93,3.23,-76.31,66.2,3.36
137,Uyovu,149027,64,TZ,1533021283,89,-3.28,31.53,65.98,4.18
138,Ivanava,627811,0,BY,1533021283,89,52.14,25.53,76.24,9.1
139,Puri,1635111,0,ID,1533018600,55,-7.54,112.45,87.8,10.29
140,Bada,2322495,56,NG,1533021284,96,12.41,4.51,72.78,7.43
141,Ajaccio,6452235,0,FR,1533018600,69,41.93,8.74,82.4,3.36
142,Gueret,3014383,0,FR,1533018600,82,46.17,1.87,66.2,10.29
143,Oyon,3933867,0,PE,1533021285,70,-10.67,-76.77,33.58,2.17
144,Beloha,1067565,0,MG,1533021285,82,-25.17,45.06,65.71,6.2
145,Eenhana,3357804,0,NA,1533021285,53,-17.48,16.34,48.16,3.18
146,Road Town,3577430,90,VG,1533019980,69,18.42,-64.62,82.4,12.75
147,Prado,3452483,0,BR,1533021286,94,-17.34,-39.22,77.41,17.16
148,Saskylakh,2017155,100,RU,1533021006,99,71.97,114.09,46.95,15.26
149,Marsh Harbour,3571913,68,BS,1533021287,98,26.54,-77.06,84.03,11.9
150,Naze,2337542,12,NG,1533020964,94,5.43,7.07,67.02,3.85
